supplier_name,trust_score,rating,product_name,category,price_thb,weight_kg,moq,url
Suwancham Dairy Ltd,79,3.95,Best Quality Peanuts,food,155.7,0.72,1,https://eximnext.com/supplier/suwancham-dairy-ltd
Suwancham Dairy Ltd,79,3.95,Barley,food,191.62,0.99,1,https://eximnext.com/supplier/suwancham-dairy-ltd
Suwancham Dairy Ltd,79,3.95,Beans,food,127.26,1.99,1,https://eximnext.com/supplier/suwancham-dairy-ltd
Suwancham Dairy Ltd,79,3.95,Original 100g Antiseptic Dettol Soap,consumer,54.57,0.51,1,https://eximnext.com/supplier/suwancham-dairy-ltd
Suwancham Dairy Ltd,79,3.95,X3 OHO Glutathione Collagen Soap,consumer,99.87,0.59,1,https://eximnext.com/supplier/suwancham-dairy-ltd
Suwancham Dairy Ltd,79,3.95,Fruity Pineapple and Papaya Natural Soap,consumer,31.17,0.89,1,https://eximnext.com/supplier/suwancham-dairy-ltd
Suwancham Dairy Ltd,79,3.95,100% Pure Thailand Milk,food,188.01,0.66,1,https://eximnext.com/supplier/suwancham-dairy-ltd
Planet Silver Wholesale Jewelry,78,3.9,Sterling Silver Rings,consumer,80.31,0.7,1,https://eximnext.com/supplier/planet-silver-wholesale-jewelry
Planet Silver Wholesale Jewelry,78,3.9,Sterling Silver Necklaces,consumer,66.23,0.49,1,https://eximnext.com/supplier/planet-silver-wholesale-jewelry
Planet Silver Wholesale Jewelry,78,3.9,Sterling Silver Bracelets,consumer,63.93,0.2,1,https://eximnext.com/supplier/planet-silver-wholesale-jewelry
Planet Silver Wholesale Jewelry,78,3.9,Sterling Silver Earrings,consumer,94.17,1.0,1,https://eximnext.com/supplier/planet-silver-wholesale-jewelry
Planet Silver Wholesale Jewelry,78,3.9,Silver Pendants,consumer,99.22,0.6,1,https://eximnext.com/supplier/planet-silver-wholesale-jewelry
Planet Silver Wholesale Jewelry,78,3.9,Silver Charms,consumer,35.63,0.63,1,https://eximnext.com/supplier/planet-silver-wholesale-jewelry
Planet Silver Wholesale Jewelry,78,3.9,Gemstone Jewelry,consumer,75.46,0.37,1,https://eximnext.com/supplier/planet-silver-wholesale-jewelry
Planet Silver Wholesale Jewelry,78,3.9,Fashion Jewelry,consumer,69.42,0.19,1,https://eximnext.com/supplier/planet-silver-wholesale-jewelry
Planet Silver Wholesale Jewelry,78,3.9,Wholesale Silver Jewelry,consumer,99.25,0.29,1,https://eximnext.com/supplier/planet-silver-wholesale-jewelry
Planet Silver Wholesale Jewelry,78,3.9,Silver Sets,consumer,44.32,0.99,1,https://eximnext.com/supplier/planet-silver-wholesale-jewelry
Finixx Group,81,4.05,Truck Tyres TBR,consumer,88.29,0.69,1,https://eximnext.com/supplier/finixx-group
Finixx Group,81,4.05,OTR Tyres,consumer,87.34,0.52,1,https://eximnext.com/supplier/finixx-group
Finixx Group,81,4.05,Industrial Tyres,consumer,37.14,0.12,1,https://eximnext.com/supplier/finixx-group
Finixx Group,81,4.05,Agricultural Tyres,consumer,56.01,0.42,1,https://eximnext.com/supplier/finixx-group
Finixx Group,81,4.05,Forklift Tyres,consumer,34.55,0.74,1,https://eximnext.com/supplier/finixx-group
Finixx Group,81,4.05,Rubber Products,consumer,88.79,0.85,1,https://eximnext.com/supplier/finixx-group
Finixx Group,81,4.05,Auto Parts,consumer,41.17,0.4,1,https://eximnext.com/supplier/finixx-group
Finixx Group,81,4.05,Industrial Equipment,consumer,50.14,0.41,1,https://eximnext.com/supplier/finixx-group
Finixx Group,81,4.05,Construction Materials,consumer,34.6,0.35,1,https://eximnext.com/supplier/finixx-group
Aureus Thai Group,78,3.9,Paras Gold Rice,food,140.83,0.53,1,https://eximnext.com/supplier/aureus-thai-group
Aureus Thai Group,78,3.9,PR-11 Rice,food,136.87,1.05,1,https://eximnext.com/supplier/aureus-thai-group
Aureus Thai Group,78,3.9,Thai Jasmine Rice,food,60.58,0.69,1,https://eximnext.com/supplier/aureus-thai-group
Aureus Thai Group,78,3.9,Basmati Rice,food,124.95,1.9,1,https://eximnext.com/supplier/aureus-thai-group
Aureus Thai Group,78,3.9,Sticky Rice,food,68.21,1.29,1,https://eximnext.com/supplier/aureus-thai-group
Aureus Thai Group,78,3.9,Rice Products,food,110.55,0.65,1,https://eximnext.com/supplier/aureus-thai-group
Aureus Thai Group,78,3.9,Thai Food Products,food,171.41,1.33,1,https://eximnext.com/supplier/aureus-thai-group
Aureus Thai Group,78,3.9,Frozen Foods,food,116.77,1.04,1,https://eximnext.com/supplier/aureus-thai-group
Aureus Thai Group,78,3.9,Snacks,food,128.86,0.95,1,https://eximnext.com/supplier/aureus-thai-group
Aureus Thai Group,78,3.9,Beverages,beverage,45.17,0.73,1,https://eximnext.com/supplier/aureus-thai-group
Aureus Thai Group,78,3.9,Seasonings,consumer,77.05,0.12,1,https://eximnext.com/supplier/aureus-thai-group
Supannee Trading Limited Partership,78,3.9,Walnuts,food,110.88,0.76,1,https://eximnext.com/supplier/supannee-trading-limited-partership
Supannee Trading Limited Partership,78,3.9,Chicken Feet,food,180.7,1.93,1,https://eximnext.com/supplier/supannee-trading-limited-partership
Supannee Trading Limited Partership,78,3.9,Red Tilapia,food,137.03,0.52,1,https://eximnext.com/supplier/supannee-trading-limited-partership
Supannee Trading Limited Partership,78,3.9,Seafood Products,food,63.95,1.69,1,https://eximnext.com/supplier/supannee-trading-limited-partership
Supannee Trading Limited Partership,78,3.9,Frozen Foods,food,128.42,1.16,1,https://eximnext.com/supplier/supannee-trading-limited-partership
Supannee Trading Limited Partership,78,3.9,Canned Foods,food,178.53,0.75,1,https://eximnext.com/supplier/supannee-trading-limited-partership
Supannee Trading Limited Partership,78,3.9,Thai Snacks,food,183.15,1.05,1,https://eximnext.com/supplier/supannee-trading-limited-partership
Supannee Trading Limited Partership,78,3.9,Condiments,consumer,94.37,0.18,1,https://eximnext.com/supplier/supannee-trading-limited-partership
Supannee Trading Limited Partership,78,3.9,Spices,food,120.36,1.96,1,https://eximnext.com/supplier/supannee-trading-limited-partership
Supannee Trading Limited Partership,78,3.9,Nuts and Seeds,food,124.23,0.59,1,https://eximnext.com/supplier/supannee-trading-limited-partership
Supannee Trading Limited Partership,78,3.9,Dried Foods,food,142.3,1.02,1,https://eximnext.com/supplier/supannee-trading-limited-partership
Thiladee Sinlawan,78,3.9,Dried Grass Jelly Leaves,consumer,37.02,0.55,1,https://eximnext.com/supplier/thiladee-sinlawan
Thiladee Sinlawan,78,3.9,Dried Reetha (Soapnut),consumer,76.69,0.82,1,https://eximnext.com/supplier/thiladee-sinlawan
Thiladee Sinlawan,78,3.9,Herbal Products,food,171.51,0.96,1,https://eximnext.com/supplier/thiladee-sinlawan
Thiladee Sinlawan,78,3.9,Natural Products,metal,397.21,16.17,1,https://eximnext.com/supplier/thiladee-sinlawan
Thiladee Sinlawan,78,3.9,Organic Products,metal,247.87,16.72,1,https://eximnext.com/supplier/thiladee-sinlawan
Thiladee Sinlawan,78,3.9,Traditional Thai Products,metal,442.16,6.93,1,https://eximnext.com/supplier/thiladee-sinlawan
Big Star Co. Ltd.,79,3.95,Drumsticks,consumer,24.19,0.95,1,https://eximnext.com/supplier/big-star-co-ltd
Big Star Co. Ltd.,79,3.95,Leggings,consumer,93.15,0.4,1,https://eximnext.com/supplier/big-star-co-ltd
Big Star Co. Ltd.,79,3.95,Trouser,consumer,20.04,0.87,1,https://eximnext.com/supplier/big-star-co-ltd
Big Star Co. Ltd.,79,3.95,T-Shirts,consumer,24.12,0.68,1,https://eximnext.com/supplier/big-star-co-ltd
Big Star Co. Ltd.,79,3.95,Shirts,consumer,45.89,0.35,1,https://eximnext.com/supplier/big-star-co-ltd
Big Star Co. Ltd.,79,3.95,Jeans,consumer,26.8,0.13,1,https://eximnext.com/supplier/big-star-co-ltd
Big Star Co. Ltd.,79,3.95,Jackets,consumer,56.53,0.16,1,https://eximnext.com/supplier/big-star-co-ltd
Big Star Co. Ltd.,79,3.95,Sportswear,consumer,92.28,0.19,1,https://eximnext.com/supplier/big-star-co-ltd
Big Star Co. Ltd.,79,3.95,Workwear,consumer,24.7,0.46,1,https://eximnext.com/supplier/big-star-co-ltd
Big Star Co. Ltd.,79,3.95,Fashion Apparel,consumer,35.78,0.68,1,https://eximnext.com/supplier/big-star-co-ltd
Big Star Co. Ltd.,79,3.95,Textiles,consumer,50.92,0.84,1,https://eximnext.com/supplier/big-star-co-ltd
"C.P. Intertrade Co., Ltd.",70,3.5,Food Products,food,122.21,0.83,1,https://eximnext.com/supplier/cp-intertrade-co-ltd
"C.P. Intertrade Co., Ltd.",70,3.5,Beverages,beverage,99.24,0.99,1,https://eximnext.com/supplier/cp-intertrade-co-ltd
"C.P. Intertrade Co., Ltd.",70,3.5,Consumer Goods,consumer,89.76,0.15,1,https://eximnext.com/supplier/cp-intertrade-co-ltd
"C.P. Intertrade Co., Ltd.",70,3.5,Household Items,consumer,33.87,0.93,1,https://eximnext.com/supplier/cp-intertrade-co-ltd
"C.P. Intertrade Co., Ltd.",70,3.5,Personal Care Products,consumer,66.86,0.31,1,https://eximnext.com/supplier/cp-intertrade-co-ltd
"C.P. Intertrade Co., Ltd.",70,3.5,Grocery Items,consumer,96.77,0.1,1,https://eximnext.com/supplier/cp-intertrade-co-ltd
"C.P. Intertrade Co., Ltd.",70,3.5,Packaged Foods,food,100.28,1.61,1,https://eximnext.com/supplier/cp-intertrade-co-ltd
MV Siam Limited,81,4.05,Vermi compost,consumer,77.62,0.64,1,https://eximnext.com/supplier/mv-siam-limited
MV Siam Limited,81,4.05,OCC waste paper,consumer,97.77,0.39,1,https://eximnext.com/supplier/mv-siam-limited
MV Siam Limited,81,4.05,Recycled paper,consumer,48.24,0.81,1,https://eximnext.com/supplier/mv-siam-limited
MV Siam Limited,81,4.05,Waste paper,consumer,69.45,0.16,1,https://eximnext.com/supplier/mv-siam-limited
MV Siam Limited,81,4.05,Paper Products,consumer,38.11,0.33,1,https://eximnext.com/supplier/mv-siam-limited
MV Siam Limited,81,4.05,Packaging Materials,consumer,33.16,0.3,1,https://eximnext.com/supplier/mv-siam-limited
MV Siam Limited,81,4.05,Recycling Materials,consumer,80.34,0.67,1,https://eximnext.com/supplier/mv-siam-limited
MV Siam Limited,81,4.05,Eco Products,metal,348.56,15.84,1,https://eximnext.com/supplier/mv-siam-limited
"Okura World Transport Co., Ltd.",77,3.85,Dog Food,food,70.2,1.02,1,https://eximnext.com/supplier/okura-world-transport-co-ltd
"Okura World Transport Co., Ltd.",77,3.85,Canned Items,consumer,91.37,0.33,1,https://eximnext.com/supplier/okura-world-transport-co-ltd
"Okura World Transport Co., Ltd.",77,3.85,Pepsi Cans,beverage,94.81,0.61,1,https://eximnext.com/supplier/okura-world-transport-co-ltd
"Okura World Transport Co., Ltd.",77,3.85,Beverages,beverage,41.4,0.59,1,https://eximnext.com/supplier/okura-world-transport-co-ltd
"Okura World Transport Co., Ltd.",77,3.85,Snack Foods,food,190.27,0.97,1,https://eximnext.com/supplier/okura-world-transport-co-ltd
"Okura World Transport Co., Ltd.",77,3.85,Pet Food,food,80.29,0.72,1,https://eximnext.com/supplier/okura-world-transport-co-ltd
"Okura World Transport Co., Ltd.",77,3.85,Imported Foods,food,99.18,1.78,1,https://eximnext.com/supplier/okura-world-transport-co-ltd
"Okura World Transport Co., Ltd.",77,3.85,Japanese Products,metal,468.76,6.94,1,https://eximnext.com/supplier/okura-world-transport-co-ltd
"Okura World Transport Co., Ltd.",77,3.85,Transportation Services,consumer,74.93,0.23,1,https://eximnext.com/supplier/okura-world-transport-co-ltd
"Khumsub Asia Goods Trading Co., Ltd.",81,4.05,Thai Curry Red Green Yellow,food,138.11,1.39,1,https://eximnext.com/supplier/khumsub-asia-goods-trading-co-ltd
"Khumsub Asia Goods Trading Co., Ltd.",81,4.05,Ethanol 96% Food Grade,metal,148.83,5.63,1,https://eximnext.com/supplier/khumsub-asia-goods-trading-co-ltd
"Khumsub Asia Goods Trading Co., Ltd.",81,4.05,Ethanol 99% Sugarcane,metal,374.8,5.75,1,https://eximnext.com/supplier/khumsub-asia-goods-trading-co-ltd
"Khumsub Asia Goods Trading Co., Ltd.",81,4.05,Ethanol Rice,metal,435.26,16.61,1,https://eximnext.com/supplier/khumsub-asia-goods-trading-co-ltd
"Khumsub Asia Goods Trading Co., Ltd.",81,4.05,Chemical Products,metal,432.61,18.95,1,https://eximnext.com/supplier/khumsub-asia-goods-trading-co-ltd
"Khumsub Asia Goods Trading Co., Ltd.",81,4.05,Food Additives,food,141.96,1.7,1,https://eximnext.com/supplier/khumsub-asia-goods-trading-co-ltd
"Khumsub Asia Goods Trading Co., Ltd.",81,4.05,Industrial Chemicals,metal,486.37,8.13,1,https://eximnext.com/supplier/khumsub-asia-goods-trading-co-ltd
"Khumsub Asia Goods Trading Co., Ltd.",81,4.05,Organic Chemicals,metal,404.52,6.86,1,https://eximnext.com/supplier/khumsub-asia-goods-trading-co-ltd
"Khumsub Asia Goods Trading Co., Ltd.",81,4.05,Raw Materials,consumer,76.91,0.55,1,https://eximnext.com/supplier/khumsub-asia-goods-trading-co-ltd
Mangmee Enterprise Company Limited,79,3.95,MCC PH102,metal,199.93,16.16,1,https://eximnext.com/supplier/mangmee-enterprise-company-limited
Mangmee Enterprise Company Limited,79,3.95,USB Polygraph Machine,consumer,76.82,0.31,1,https://eximnext.com/supplier/mangmee-enterprise-company-limited
Mangmee Enterprise Company Limited,79,3.95,Alpha-Olefin Sulfonate AOS 92%,metal,255.34,8.98,1,https://eximnext.com/supplier/mangmee-enterprise-company-limited
Mangmee Enterprise Company Limited,79,3.95,Chemical Products,metal,282.1,12.37,1,https://eximnext.com/supplier/mangmee-enterprise-company-limited
Mangmee Enterprise Company Limited,79,3.95,Industrial Supplies,consumer,42.41,0.43,1,https://eximnext.com/supplier/mangmee-enterprise-company-limited
Mangmee Enterprise Company Limited,79,3.95,Laboratory Equipment,consumer,23.76,0.22,1,https://eximnext.com/supplier/mangmee-enterprise-company-limited
Mangmee Enterprise Company Limited,79,3.95,Testing Equipment,metal,230.98,13.36,1,https://eximnext.com/supplier/mangmee-enterprise-company-limited
Mangmee Enterprise Company Limited,79,3.95,Safety Equipment,consumer,46.91,0.7,1,https://eximnext.com/supplier/mangmee-enterprise-company-limited
"Thai Peace Pulp (Thailand) Co., Ltd",78,3.9,Freon R-417A Refrigerant Gas,metal,475.61,7.23,1,https://eximnext.com/supplier/thai-peace-pulp-(thailand)-co-ltd
"Thai Peace Pulp (Thailand) Co., Ltd",78,3.9,Continental Coach HA3 Tire,consumer,64.83,0.13,1,https://eximnext.com/supplier/thai-peace-pulp-(thailand)-co-ltd
"Thai Peace Pulp (Thailand) Co., Ltd",78,3.9,Pampers Baby-Dry Diapers,consumer,56.28,0.89,1,https://eximnext.com/supplier/thai-peace-pulp-(thailand)-co-ltd
"Thai Peace Pulp (Thailand) Co., Ltd",78,3.9,Paper Pulp,consumer,76.32,0.71,1,https://eximnext.com/supplier/thai-peace-pulp-(thailand)-co-ltd
"Thai Peace Pulp (Thailand) Co., Ltd",78,3.9,Tissue Paper,consumer,73.24,0.48,1,https://eximnext.com/supplier/thai-peace-pulp-(thailand)-co-ltd
"Thai Peace Pulp (Thailand) Co., Ltd",78,3.9,Paper Products,consumer,36.15,0.74,1,https://eximnext.com/supplier/thai-peace-pulp-(thailand)-co-ltd
"Thai Peace Pulp (Thailand) Co., Ltd",78,3.9,Hygiene Products,consumer,53.36,0.37,1,https://eximnext.com/supplier/thai-peace-pulp-(thailand)-co-ltd
"Thai Peace Pulp (Thailand) Co., Ltd",78,3.9,Personal Care,consumer,70.58,0.6,1,https://eximnext.com/supplier/thai-peace-pulp-(thailand)-co-ltd
Ashirwad Trading Co. Ltd.,77,3.85,MARATHON SUPER G,consumer,68.02,0.93,1,https://eximnext.com/supplier/ashirwad-trading-co-ltd
Ashirwad Trading Co. Ltd.,77,3.85,CGG 75mm,consumer,56.99,0.25,1,https://eximnext.com/supplier/ashirwad-trading-co-ltd
Ashirwad Trading Co. Ltd.,77,3.85,CGG 50mm,consumer,97.89,0.18,1,https://eximnext.com/supplier/ashirwad-trading-co-ltd
Ashirwad Trading Co. Ltd.,77,3.85,Industrial Products,metal,118.88,15.2,1,https://eximnext.com/supplier/ashirwad-trading-co-ltd
Ashirwad Trading Co. Ltd.,77,3.85,Construction Materials,consumer,85.97,0.42,1,https://eximnext.com/supplier/ashirwad-trading-co-ltd
Ashirwad Trading Co. Ltd.,77,3.85,Building Supplies,consumer,38.19,0.93,1,https://eximnext.com/supplier/ashirwad-trading-co-ltd
Ashirwad Trading Co. Ltd.,77,3.85,Hardware,consumer,56.04,0.19,1,https://eximnext.com/supplier/ashirwad-trading-co-ltd
Ashirwad Trading Co. Ltd.,77,3.85,Tools and Equipment,consumer,62.47,0.34,1,https://eximnext.com/supplier/ashirwad-trading-co-ltd
